;PolnohospodarskaPoda-spolu(vm2);24806452;24801816;24802314;24784813;24791044;24798879;24745004;24738916;24386834;24341408;24346164;24334656;23435506;23373352;23552367;23532122;23502225;23494231;23460891;23416376;22383373;22366628;
;PolnohospodarskaPoda-ornaPoda(vm2);21456794;21456086;21456269;22580902;22590316;22586547;22537218;22524407;22652143;22619554;22680829;22669967;21775582;21724520;21908905;21903771;21880979;21877131;21850960;21805279;20779661;20767512;
;PolnohospodarskaPoda-vinica(vm2);424044;424044;424044;194816;194816;194820;194820;194820;194820;194245;149687;149687;149687;149687;149687;149687;149687;149687;149321;149321;149321;149321;
;PolnohospodarskaPoda-zahrada;1394607;1390679;1390994;1390975;1387792;1399406;1394860;1401561;1407028;1394766;1382937;1382291;1377490;1366385;1361076;1345965;1338860;1332121;1325318;1299150;1288394;1283798;
;PolnohospodarskaPoda-ovocnysad(vm2);1491567;1491567;1491567;578680;578680;578680;578680;578680;93395;93395;93395;93395;93395;93395;93188;93188;93188;93188;93188;93188;92376;92376;
;PolnohospodarskaPoda-trvalytravnyporast(vm2);39440;39440;39440;39440;39440;39426;39426;39448;39448;39448;39316;39316;39352;39365;39511;39511;39511;42104;42104;69438;73621;73621;
;NepolnohospodarskaPoda-spolu;17686516;17691152;17690654;17708155;17701924;17694089;17747964;17754052;18106134;18151560;18146804;18158312;19057462;19119616;18940601;18960846;18990743;18998737;19032077;19076592;20109595;20126340;
;NepolnohospodarskaPoda-lesnypozemok(vm2);8003398;8059899;8059899;8059899;8059890;8059890;8059889;8059889;8059889;8059889;8060018;8060018;8060018;8095315;8095315;8095315;8095315;8095315;8095315;8093800;8093800;7979509;
;NepolnohospodarskaPoda-vodnaplocha(vm2);3031650;3038709;3038713;3038132;3038193;3038103;3038108;3038228;3038890;3040511;3040099;1921851;1922025;1922467;1923322;1923324;1923328;1923495;1923887;1927126;1927126;2041417;
;NepolnohospodarskaPoda-zastavanaplochaanadvorie(vm2);4495090;4382116;4387373;4392955;4389887;4401359;4420269;4438307;4418961;4433976;4403864;4575468;4614618;4593935;4601228;4620312;4631265;4651747;4684406;4702255;4718226;4728734;
;NepolnohospodarskaPoda-ostatnaplocha(vm2);2156378;2210428;2204669;2217169;2213954;2194737;2229698;2217628;2588394;2617184;2642823;3600975;4460801;4507899;4320736;4321895;4340835;4328180;4328469;4353411;5370443;5376680;
