Mierovo;25;12;13;21;8;13;26;17;9;34;23;11;29;14;15;32;22;10;40;21;19;37;9;28;38;22;16;25;14;11;29;15;14;28;15;13;24;8;16;21;11;10;16;7;9;9;3;6;7;2;5;3;2;1;1;0;1;0;0;0;0;0;0;
MichalnaOstrove;53;21;32;58;35;23;52;32;20;50;30;20;57;32;25;66;31;35;98;49;49;79;46;33;67;36;31;61;32;29;71;35;36;55;30;25;49;26;23;28;12;16;25;12;13;15;6;9;19;3;16;12;5;7;0;0;0;0;0;0;0;0;0;
NovyZivot;116;58;58;105;46;59;124;62;62;130;70;60;183;92;91;180;87;93;167;89;78;173;92;81;161;81;80;167;83;84;158;90;68;147;70;77;101;52;49;101;42;59;75;25;50;57;24;33;36;12;24;19;5;14;2;1;1;0;0;0;1;1;0;
Ohrady;52;31;21;43;23;20;62;30;32;64;39;25;86;50;36;84;50;34;99;43;56;105;51;54;82;42;40;73;42;31;85;39;46;98;44;54;86;41;45;53;29;24;36;19;17;27;7;20;21;10;11;11;1;10;1;0;1;0;0;0;0;0;0;
Okoc;167;98;69;179;102;77;205;110;95;241;117;124;281;135;146;291;141;150;328;171;157;319;166;153;242;123;119;248;131;117;266;136;130;288;144;144;197;96;101;144;67;77;120;38;82;79;27;52;50;22;28;28;11;17;4;0;4;0;0;0;0;0;0;
Oldza;27;12;15;24;18;6;18;7;11;18;10;8;24;12;12;31;13;18;52;20;32;41;26;15;19;7;12;27;12;15;29;13;16;32;16;16;20;10;10;9;5;4;12;2;10;13;3;10;3;0;3;4;0;4;0;0;0;0;0;0;0;0;0;
OrechovaPoton;64;34;30;79;39;40;87;42;45;99;38;61;109;47;62;116;65;51;144;77;67;156;77;79;111;61;50;109;54;55;122;64;58;144;68;76;96;44;52;83;33;50;67;34;33;40;13;27;35;14;21;11;2;9;5;4;1;1;0;1;0;0;0;
Padan;30;15;15;43;22;21;47;27;20;54;23;31;61;27;34;85;49;36;72;39;33;62;32;30;59;33;26;78;43;35;77;39;38;43;24;19;37;17;20;40;20;20;35;11;24;24;8;16;6;4;2;6;2;4;2;2;0;0;0;0;0;0;0;
Sap;17;11;6;20;8;12;24;13;11;30;16;14;35;16;19;46;25;21;49;24;25;41;19;22;27;15;12;54;25;29;39;26;13;34;17;17;44;19;25;25;9;16;20;8;12;15;7;8;12;4;8;3;0;3;0;0;0;0;0;0;0;0;0;
Patas;49;17;32;46;26;20;57;29;28;65;37;28;63;34;29;52;30;22;59;31;28;72;34;38;74;38;36;56;31;25;51;28;23;44;19;25;43;24;19;19;6;13;40;19;21;19;8;11;10;4;6;10;4;6;3;2;1;0;0;0;0;0;0;
Rohovce;70;30;40;48;19;29;71;40;31;75;31;44;82;42;40;109;59;50;108;57;51;99;53;46;89;50;39;69;33;36;94;56;38;67;32;35;62;28;34;53;24;29;30;19;11;27;8;19;24;5;19;13;5;8;2;1;1;0;0;0;0;0;0;
