508675;  Brusno;601;BanskaBystrica;600;Banskobystricky;
508519;  Cerin;601;BanskaBystrica;600;Banskobystricky;
508543;  DolnaMicina;601;BanskaBystrica;600;Banskobystricky;
508551;  DolnyHarmanec;601;BanskaBystrica;600;Banskobystricky;
508560;  Donovaly;601;BanskaBystrica;600;Banskobystricky;
508586;  Dubravica;601;BanskaBystrica;600;Banskobystricky;
508594;  Harmanec;601;BanskaBystrica;600;Banskobystricky;
508616;  Hiadel;601;BanskaBystrica;600;Banskobystricky;
508632;  HornaMicina;601;BanskaBystrica;600;Banskobystricky;
508641;  HornePrsany;601;BanskaBystrica;600;Banskobystricky;
508659;  Hrochot;601;BanskaBystrica;600;Banskobystricky;
580236;  Hronsek;601;BanskaBystrica;600;Banskobystricky;
508713;  Kordiky;601;BanskaBystrica;600;Banskobystricky;
508721;  Kraliky;601;BanskaBystrica;600;Banskobystricky;
557277;  Kyncelova;601;BanskaBystrica;600;Banskobystricky;
508748;  Lubietova;601;BanskaBystrica;600;Banskobystricky;
508756;  Lucatin;601;BanskaBystrica;600;Banskobystricky;
580244;  Malachov;601;BanskaBystrica;600;Banskobystricky;
508764;  Medzibrod;601;BanskaBystrica;600;Banskobystricky;
508799;  Mostenica;601;BanskaBystrica;600;Banskobystricky;
508802;  Motycky;601;BanskaBystrica;600;Banskobystricky;
508781;  Molca;601;BanskaBystrica;600;Banskobystricky;
557285;  Nemce;601;BanskaBystrica;600;Banskobystricky;
508837;  Oravce;601;BanskaBystrica;600;Banskobystricky;
508861;  Podkonice;601;BanskaBystrica;600;Banskobystricky;
508896;  PohronskyBukovec;601;BanskaBystrica;600;Banskobystricky;
508918;  Poniky;601;BanskaBystrica;600;Banskobystricky;
508926;  Povraznik;601;BanskaBystrica;600;Banskobystricky;
508942;  Priechod;601;BanskaBystrica;600;Banskobystricky;
508969;  Riecka;601;BanskaBystrica;600;Banskobystricky;
508977;  Sebedin-Becov;601;BanskaBystrica;600;Banskobystricky;
508985;  Selce;601;BanskaBystrica;600;Banskobystricky;
509001;  SlovenskaLupca;601;BanskaBystrica;600;Banskobystricky;
509019;  StareHory;601;BanskaBystrica;600;Banskobystricky;
509027;  Strelniky;601;BanskaBystrica;600;Banskobystricky;
509035;  SpaniaDolina;601;BanskaBystrica;600;Banskobystricky;
509060;  Tajov;601;BanskaBystrica;600;Banskobystricky;
557269;  Turecka;601;BanskaBystrica;600;Banskobystricky;
557293;  Vlkanova;601;BanskaBystrica;600;Banskobystricky;
516601;  Badan;602;BanskaStiavnica;600;Banskobystricky;
516627;  BanskaBela;602;BanskaStiavnica;600;Banskobystricky;
516643;  BanskaStiavnica;602;BanskaStiavnica;600;Banskobystricky;
516651;  BanskyStudenec;602;BanskaStiavnica;600;Banskobystricky;
516678;  Beluj;602;BanskaStiavnica;600;Banskobystricky;
516716;  Dekys;602;BanskaStiavnica;600;Banskobystricky;
516856;  Ilija;602;BanskaStiavnica;600;Banskobystricky;
516953;  Kozelnik;602;BanskaStiavnica;600;Banskobystricky;
517071;  Mociar;602;BanskaStiavnica;600;Banskobystricky;
517160;  Pocuvadlo;602;BanskaStiavnica;600;Banskobystricky;
517143;  Podhorie;602;BanskaStiavnica;600;Banskobystricky;
517178;  Prencov;602;BanskaStiavnica;600;Banskobystricky;
516597;  SvatyAnton;602;BanskaStiavnica;600;Banskobystricky;
517283;  StiavnickeBane;602;BanskaStiavnica;600;Banskobystricky;
517372;  Vysoka;602;BanskaStiavnica;600;Banskobystricky;
508446;  Bacuch;603;Brezno;600;Banskobystricky;
508462;  Benus;603;Brezno;600;Banskobystricky;
508489;  Bravacovo;603;Brezno;600;Banskobystricky;
508497;  Brezno;603;Brezno;600;Banskobystricky;
557251;  Bystra;603;Brezno;600;Banskobystricky;
508527;  CiernyBalog;603;Brezno;600;Banskobystricky;
508535;  DolnaLehota;603;Brezno;600;Banskobystricky;
508578;  Drabsko;603;Brezno;600;Banskobystricky;
508608;  Helpa;603;Brezno;600;Banskobystricky;
508624;  HornaLehota;603;Brezno;600;Banskobystricky;
508667;  Hronec;603;Brezno;600;Banskobystricky;
508691;  Jaraba;603;Brezno;600;Banskobystricky;
508705;  Jasenie;603;Brezno;600;Banskobystricky;
508730;  LomnadRimavicou;603;Brezno;600;Banskobystricky;
508772;  Michalova;603;Brezno;600;Banskobystricky;
508811;  MytopodDumbierom;603;Brezno;600;Banskobystricky;
508829;  Nemecka;603;Brezno;600;Banskobystricky;
508845;  Osrblie;603;Brezno;600;Banskobystricky;
508853;  Podbrezova;603;Brezno;600;Banskobystricky;
508870;  Pohorela;603;Brezno;600;Banskobystricky;
508888;  PohronskaPolhora;603;Brezno;600;Banskobystricky;
508900;  Polomka;603;Brezno;600;Banskobystricky;
